Fecha,I0,N
2020-03-14,7,32941000
2020-03-15,0,
2020-03-16,0,
2020-03-17,1,
2020-03-18,2,
2020-03-19,4,
2020-03-20,6,
2020-03-21,7,
2020-03-22,0,
2020-03-23,3,
2020-03-24,0,
2020-03-25,5,
2020-03-26,1,
2020-03-27,4,
2020-03-28,9,
2020-03-29,23,
2020-03-30,25,
2020-03-31,23,
2020-04-01,32,
2020-04-02,141,
2020-04-03,93,
2020-04-04,59,
2020-04-05,58,
2020-04-06,22,
2020-04-07,51,
2020-04-08,93,
2020-04-09,51,
2020-04-10,183,
2020-04-11,166,
2020-04-12,85,
2020-04-13,356,
2020-04-14,51,
2020-04-15,17,
2020-04-16,62,
2020-04-17,67,
2020-04-18,350,
2020-04-19,380,
2020-04-20,78,
2020-04-21,75,
2020-04-22,92,
2020-04-23,128,
2020-04-24,138,
2020-04-25,111,
2020-04-26,293,
2020-04-27,190,
2020-04-28,206,
2020-04-29,125,
2020-04-30,76,
2020-05-01,223,
2020-05-02,384,
2020-05-03,427,
2020-05-04,349,
2020-05-05,206,
2020-05-06,428,
2020-05-07,448,
2020-05-08,338,
2020-05-09,224,
2020-05-10,381,
2020-05-11,310,
2020-05-12,406,
2020-05-13,359,
2020-05-14,472,
2020-05-15,425,
2020-05-16,438,
2020-05-17,422,
2020-05-18,299,
2020-05-19,500,
2020-05-20,534,
2020-05-21,571,
2020-05-22,660,
2020-05-23,591,
2020-05-24,508,
2020-05-25,635,
2020-05-26,412,
2020-05-27,792,
2020-05-28,1024,
2020-05-29,1105,
2020-05-30,1163,
2020-05-31,1295,
2020-06-01,990,
2020-06-02,1298,
2020-06-03,1513,
2020-06-04,1359,
2020-06-05,1330,
2020-06-06,1320,
2020-06-07,1282,
2020-06-08,1007,
2020-06-09,1366,
2020-06-10,1501,
2020-06-11,1877,
2020-06-12,2137,
2020-06-13,2134,
2020-06-14,2224,
2020-06-15,1647,
2020-06-16,1859,
2020-06-17,2414,
2020-06-18,2877,
2020-06-19,3137,
2020-06-20,3630,
2020-06-21,3000,
2020-06-22,2909,
2020-06-23,3947,
2020-06-24,3788,
2020-06-25,3390,
2020-06-26,3460,
2020-06-27,2948,
2020-06-28,2889,
2020-06-29,2084,
2020-06-30,2199,
2020-07-01,2442,
2020-07-02,2373,
2020-07-03,2520,
2020-07-04,2505,
2020-07-05,2244,
2020-07-06,1379,
2020-07-07,2008,
2020-07-08,2033,
2020-07-09,2187,
2020-07-10,2089,
2020-07-11,1781,
2020-07-12,1573,
2020-07-13,1246,
2020-07-14,1606,
2020-07-15,1647,
2020-07-16,1652,
2020-07-17,1462,
2020-07-18,1475,
2020-07-19,1211,
2020-07-20,954,
2020-07-21,1349,
2020-07-22,1227,
2020-07-23,1041,
2020-07-24,1025,
2020-07-25,1142,
2020-07-26,1075,
2020-07-27,613,
2020-07-28,1056,
2020-07-29,1035,
2020-07-30,1093,
2020-07-31,1195,
2020-08-01,1118,
2020-08-02,961,
2020-08-03,805,
2020-08-04,674,
2020-08-05,1076,
2020-08-06,1299,
2020-08-07,1192,
2020-08-08,1404,
2020-08-09,1300,
2020-08-10,707,
2020-08-11,1257,
2020-08-12,1113,
2020-08-13,956,
2020-08-14,1192,
2020-08-15,1276,
2020-08-16,652,
2020-08-17,787,
2020-08-18,1374,
2020-08-19,1398,
2020-08-20,1215,
2020-08-21,1250,
2020-08-22,1412,
2020-08-23,1450,
2020-08-24,1061,
2020-08-25,1544,
2020-08-26,1693,
2020-08-27,1840,
2020-08-28,1808,
2020-08-29,1954,
2020-08-30,2024,
2020-08-31,1358,
2020-09-01,2312,
2020-09-02,2509,
2020-09-03,2737,
2020-09-04,2914,
2020-09-05,2973,
2020-09-06,3256,
2020-09-07,2077,
2020-09-08,3609,
2020-09-09,4039,
2020-09-10,4308,
2020-09-11,4266,
2020-09-12,4321,
2020-09-13,4235,
2020-09-14,3229,
2020-09-15,4263,
2020-09-16,4473,
2020-09-17,4432,
2020-09-18,4127,
2020-09-19,4071,
2020-09-20,3812,
2020-09-21,2548,
2020-09-22,3816,
2020-09-23,3714,
2020-09-24,3834,
2020-09-25,3827,
2020-09-26,3372,
2020-09-27,3292,
2020-09-28,1984,
2020-09-29,3227,
2020-09-30,3390,
2020-10-01,3037,
2020-10-02,2920,
2020-10-03,2258,
2020-10-04,2683,
2020-10-05,1947,
2020-10-06,2676,
2020-10-07,2871,
2020-10-08,2726,
2020-10-09,2860,
2020-10-10,2866,
2020-10-11,2780,
2020-10-12,1849,
2020-10-13,3036,
2020-10-14,3324,
2020-10-15,3483,
2020-10-16,3428,
2020-10-17,3259,
2020-10-18,3299,
2020-10-19,2154,
2020-10-20,3579,
2020-10-21,3686,
2020-10-22,3882,
2020-10-23,4086,
2020-10-24,4116,
2020-10-25,4136,
2020-10-26,2832,
2020-10-27,4853,
2020-10-28,5673,
2020-10-29,5739,
2020-10-30,5891,
2020-10-31,5062,
2020-11-01,5664,
2020-11-02,4001,
2020-11-03,6725,
2020-11-04,6842,
2020-11-05,6715,
2020-11-06,7178,
2020-11-07,6953,
2020-11-08,7745,
2020-11-09,5023,
2020-11-10,7830,
2020-11-11,8593,
2020-11-12,7053,
2020-11-13,7802,
2020-11-14,7340,
2020-11-15,3235,
2020-11-16,3797,
2020-11-17,6396,
2020-11-18,7486,
2020-11-19,7546,
2020-11-20,6608,
2020-11-21,5879,
2020-11-22,6746,
2020-11-23,4454,
2020-11-24,6224,
2020-11-25,5246,
2020-11-26,5475,
2020-11-27,5482,
2020-11-28,4998,
2020-11-29,4906,
2020-11-30,3726,
2020-12-01,4006,
2020-12-02,3944,
2020-12-03,3734,
2020-12-04,4067,
2020-12-05,3419,
2020-12-06,2706,
2020-12-07,1674,
2020-12-08,3188,
2020-12-09,2463,
2020-12-10,1575,
2020-12-11,2385,
2020-12-12,1935,
2020-12-13,1984,
2020-12-14,1376,
2020-12-15,1617,
2020-12-16,1547,
2020-12-17,1363,
2020-12-18,1418,
2020-12-19,1139,
2020-12-20,1091,
2020-12-21,803,
2020-12-22,939,
2020-12-23,871,
